ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
0,The role of the right temporoparietal junction in attention and,https://sci-hub.se/https://link.springer.com/article/10.1007/s00429-014-0803-z,NeuroCiencia,"KrallS.C,RottschyC,OberwellandE,BzdokD,FoxP.T,EickhoffS.B,Konrad","The role of the right temporoparietal junction in attention and social interaction as revealed by ALE meta-analysis. Brain Structure and Function, 220(2), 587–604.",2014
1,The Role of the Right Temporoparietal Junction in Social Interaction:,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/1073858407304654,NeuroCiencia,"DecetyJ,Lamm","The Role of the Right Temporoparietal Junction in Social Interaction: How Low-Level Computational Processes Contribute to Meta-Cognition. The Neuroscientist, 13(6), 580–593.",2007
2,"Enhancing Social Ability by Stimulating Right Temporoparietal Junction. Current Biology,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960982212012031,NeuroCiencia,"SantiestebanI,BanissyM.J,CatmurC,Bird","Enhancing Social Ability by Stimulating Right Temporoparietal Junction. Current Biology, 22(23), 2274–2277.",2012
3,Making sense of another mind: The role of the right,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393205001223,NeuroCiencia,"SAXER,WEXLER","Making sense of another mind: The role of the right temporo-parietal junction. Neuropsychologia, 43(10), 1391–1399.",2005
4,"Right temporoparietal junction and attentional reorienting. Human Brain Mapping, 34(4),",https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21476,NeuroCiencia,"ChangC.-F,HsuT.-Y,TsengP,LiangW.-K,TzengO.J.L,HungD.L,Juan","Right temporoparietal junction and attentional reorienting. Human Brain Mapping, 34(4), 869–877.",2012
5,Expertise-related deactivation of the right temporoparietal junction during musical improvisation.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811909009525,NeuroCiencia,"BerkowitzA.L,Ansari","Expertise-related deactivation of the right temporoparietal junction during musical improvisation. NeuroImage, 49(1), 712–719.",2010
6,Disruption of the right temporoparietal junction with transcranial magnetic stimulation,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.0914826107,NeuroCiencia,"YoungL,CamprodonJ.A,HauserM,Pascual-LeoneA,Saxe","Disruption of the right temporoparietal junction with transcranial magnetic stimulation reduces the role of beliefs in moral judgments. Proceedings of the National Academy of Sciences, 107(15), 6753–6758.",2010
7,The role of the right temporo-parietal junction in maintaining a,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393208002601,NeuroCiencia,"TsakirisM,CostantiniM,Haggard","The role of the right temporo-parietal junction in maintaining a coherent sense of one’s body. Neuropsychologia, 46(12), 3014–3018.",2008
8,Thinking of mental and other representations: The roles of left,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470910600989896,NeuroCiencia,"PernerJ,AichhornM,KronbichlerM,StaffenW,Ladurner","Thinking of mental and other representations: The roles of left and right temporo-parietal junction. Social Neuroscience, 1(3-4), 245–258.",2006
9,The right temporoparietal junction in attention and social interaction: A,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23068,NeuroCiencia,"KrallS.C,VolzL.J,OberwellandE,GrefkesC,FinkG.R,Konrad","The right temporoparietal junction in attention and social interaction: A transcranial magnetic stimulation study. Human Brain Mapping, 37(2), 796–807.",2015
