ID_AU,Autores
1,AbdulH.S
2,AbreuE.M.C
3,Abu-AkelA.M
4,Abu-EkteishF.M
5,AbuLaimun
6,AbulY
7,Acar
8,AcciarinoA
9,AcquavivaG
10,AcsZ.J
11,AdcockE.W
12,AdebergP
13,AdenzatoM
14,AdewaleAlolaA
15,AdhikariB.M
16,AdlerA
17,AgblevorF.A
18,AggarwalP.K
19,AghalooK
20,AgliotiS.
21,Agrawal
22,AgullóI
23,AhluwaliaA.S
24,AhnJ.W
25,Aichhorn
26,AichhornM
27,AkawiL
28,AlHathalM.M
29,AlHathlolK
30,AlTawilK
31,AlamM.S
32,AlamroS.M
33,AlberiniC.M
34,AldakhilA.M
35,AldinucciD
36,AldrinkJ.H
37,AldyJ.
38,AldyJ.E
39,AlekseevA
40,Aleman
41,AlexanderE.
42,AlexandridiM
43,AlexandrouA.M
44,Ali
45,AliT
46,Alifano
47,AlifanoM
48,AllartA
49,AllenN
50,AllenN.B
51,AllenS.J
52,AlmerigognaF
53,Alonso-SerranoA
54,AmblardB
55,AmbrosiaM
56,AmeliR
57,Amelino-CameliaG
58,AmengualJ.L
59,AmjadiK
60,AnacletoM.A
61,AnagnostouE
62,AnaniasNeto
63,AnaniasNetoJ
64,AndersL
65,AndersonR
66,Andrews-SpeedP
67,AndrianisainaP.S.-K
68,AndrietG
69,AngJ.B
70,AnituaE
71,Ansari
72,AnspachL
73,AokiY.Y
74,ApergisN
75,ApperlyI.A
76,AprilM.D
77,ArabW.A
78,ArjomandM
79,ArnoldA.
80,ArribasJ.J
81,Arshad
82,ArteagaA.A
83,Artese
84,ArtigesE
85,ArzanoM
86,Arzy
87,ArzyS
88,AsanoD
89,AshtekarA
90,AshwinC
91,AshworthM.
92,Aspuru-Guzik
93,AsseretoM
94,AstafievS.V
95,Astoul
96,AthanasA.K
97,Avena-KoenigsbergerA
98,AvilaG
99,AwadH.A
100,AyabeN
101,AyodeleA.S
102,AzamRoomiM
103,AzimiN.
104,BAUMANNM.H
105,BIENENSTOCKJ
106,BORAS
107,BabakiFardF
108,Babbitt
109,BabbittC.W
110,BachmanJ.E
111,BadoudD
112,BaeE
113,Baetens
114,BaezJ
115,BajracharyaS
116,BalaguerJ
117,BalasubramanianV
118,BallC.G
119,BallS
120,Baltabaev
121,BanerjeeR
122,BanerjeeS
123,BaniD
124,BanissyM.J
125,BannwarthB
126,BaraB.G
127,BarberoG
128,BarbozaE.
129,Barbur
130,BaredarP.V
131,BarelliL
132,BarkhordariS
133,Baron-Cohen
134,BarootchiS
135,BarrientosV
136,BartlettR.
137,BartonE.
138,BartonE.D
139,BarvinskyA.O
140,Basu
141,BatesB
142,BauerM
143,BaumS.H
144,BaumannL
145,BaumannM
146,BaumgartnerF
147,BayfordR
148,BazanJ.
149,BazinY
150,Bañados
151,BañadosM
152,BeauchampM.S
153,Beaumont‐Kerridge
154,BednyM
155,BeersM.F
156,BegoñaL
157,BegumS
158,BekensteinJ.
159,BekensteinJ.D
160,BekunF.
161,Belegri-RoboliA
162,BelinA
163,BellettiA
164,BelmonteM.K
165,Ben-AriehY
166,BenAbdallah
167,BenaI
168,BengtssonI
169,BeniniF
170,BenseL
171,Bensebaa
172,BenzC.C
173,BergerP
174,BergonzoniE
175,BergströmM
176,BerkowitzA.L
177,Bermpohl
178,Bernard
179,BernardF
180,BernardF.A
181,Berona
182,Bertola
183,BertranE
184,BessodesM
185,BhaduriR.
186,Bhagwat
187,BhatM
188,BhattM.
189,BhattM.A
190,BhayaniS.B
191,BhoiA.K
192,Bianchi
193,BibbyA
194,BifflW.L
195,Big
196,BikleP.C
197,BilalićM
198,BintcliffeO.J
199,Bird
200,Birdwell
201,BirminghamD
202,BiscardiA
203,BitschF
204,BlackbourneL.
205,BlackmoreC
206,BlagojevićM
207,Blair-WestL.F
208,BlairA.J
209,BlairK
210,Blanke
211,BlankeO
212,BlasiA
213,BoaronM
214,BobbioA
215,Bodendorfer
216,BodnarR.
217,BodnerT
218,BodóE
219,BoerJ.deJejjalaV
220,BoginB
221,BollingD.Z
222,Bolognini
223,BombelliL
224,BonfantiB
225,BonillaA
226,BoniniN
227,BonnefoyQ
228,Bonner
229,BonoraL
230,BoothV
231,BorensteinS
232,BorjaE.F
233,Boroojerdi
234,BosE.M
235,Bosco
236,BoseS
237,Bosetti
238,BostanciK
239,BouazizN
240,Boulanger-BertolusJ
241,BoussoR
242,BouteA
243,BowersR.M
244,BowmanL.C
245,BoydR.L
246,BoyleR.
247,BraithwaiteT
