Titulos,URL,HUBsci,Categoria
"Spontaneous pneumothorax: epidemiology, pathophysiology and cause",https://err.ersjournals.com/content/19/117/217.short,https://sci-hub.se/https://err.ersjournals.com/content/19/117/217.short,Medicina
"The pathophysiology of progressive, tension pneumothorax","https://journals.lww.com/jtrauma/citation/1968/03000/the_pathophysiology_of_progressive,_tension.9.aspx","https://sci-hub.se/https://journals.lww.com/jtrauma/citation/1968/03000/the_pathophysiology_of_progressive,_tension.9.aspx",Medicina
"[HTML] Spontaneous pneumothorax: pathophysiology, clinical presentation and diagnosis",https://www.sciencedirect.com/science/article/pii/S1938973621000568,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1938973621000568,Medicina
Pathophysiology of pneumothorax following ultrasound-guided thoracentesis,https://www.sciencedirect.com/science/article/pii/S0012369215511550,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0012369215511550,Medicina
"Pneumothorax in patients with acute respiratory distress syndrome: pathophysiology, detection, and treatment",https://journals.sagepub.com/doi/pdf/10.1177/0885066602239120,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/0885066602239120,Medicina
"[PDF] Pathophysiology, clinical evaluation and treatment options of spontaneous pneumothorax",http://www.tuberktoraks.org/managete/fu_folder/2010-03/2010-58-3-334-343.pdf,https://sci-hub.se/http://www.tuberktoraks.org/managete/fu_folder/2010-03/2010-58-3-334-343.pdf,Medicina
Pneumothorax: classification and etiology,https://www.chestmed.theclinics.com/article/S0272-5231(21)01199-0/abstract,https://sci-hub.se/https://www.chestmed.theclinics.com/article/S0272-5231(21)01199-0/abstract,Medicina
The pathophysiology of tension pneumothorax in ventilated swine,https://www.sciencedirect.com/science/article/pii/S0736467996003125,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0736467996003125,Medicina
New insights and improved strategies for the management of primary spontaneous pneumothorax,https://onlinelibrary.wiley.com/doi/abs/10.1111/crj.12990,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/crj.12990,Medicina
Management of primary spontaneous pneumothorax,https://journals.lww.com/co-pulmonarymedicine/Fulltext/2003/07000/Management_of_primary_spontaneous_pneumothorax.5.aspx,https://sci-hub.se/https://journals.lww.com/co-pulmonarymedicine/Fulltext/2003/07000/Management_of_primary_spontaneous_pneumothorax.5.aspx,Medicina
