Titulos,URL,HUBsci,Categoria
On black hole entropy,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.49.6587,https://sci-hub.se/https://journals.aps.org/prd/abstract/10.1103/PhysRevD.49.6587,Fisica
Quantum geometry and black hole entropy,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.904,https://sci-hub.se/https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.904,Fisica
Do we understand black hole entropy?,https://arxiv.org/abs/gr-qc/9409015,https://sci-hub.se/https://arxiv.org/abs/gr-qc/9409015,Fisica
Dynamic black-hole entropy,https://www.sciencedirect.com/science/article/pii/S037596019900225X,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S037596019900225X,Fisica
Black hole entropy: a closer look,https://www.mdpi.com/601904,https://sci-hub.se/https://www.mdpi.com/601904,Fisica
Black-hole entropy from quantum geometry,https://iopscience.iop.org/article/10.1088/0264-9381/21/22/014/meta,https://sci-hub.se/https://iopscience.iop.org/article/10.1088/0264-9381/21/22/014/meta,Fisica
Black hole entropy and entropy of entanglement,https://www.sciencedirect.com/science/article/pii/055032139500443V,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/055032139500443V,Fisica
Black hole entropy is the Noether charge,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.48.R3427,https://sci-hub.se/https://journals.aps.org/prd/abstract/10.1103/PhysRevD.48.R3427,Fisica
Quantum black hole entropy,https://www.sciencedirect.com/science/article/pii/S0370269398010302,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0370269398010302,Fisica
Some speculations about black hole entropy in string theory,https://www.worldscientific.com/doi/abs/10.1142/9789814447232_0007,https://sci-hub.se/https://www.worldscientific.com/doi/abs/10.1142/9789814447232_0007,Fisica
Black hole entropy and higher curvature interactions,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.70.3684,https://sci-hub.se/https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.70.3684,Fisica
Black holes and entropy,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.7.2333,https://sci-hub.se/https://journals.aps.org/prd/abstract/10.1103/PhysRevD.7.2333,Fisica
Black hole entropy and induced gravity,https://arxiv.org/abs/gr-qc/9404039,https://sci-hub.se/https://arxiv.org/abs/gr-qc/9404039,Fisica
Black hole entropy from loop quantum gravity,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.77.3288,https://sci-hub.se/https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.77.3288,Fisica
The SU (2) black hole entropy revisited,https://link.springer.com/article/10.1007/JHEP05(2011)016,https://sci-hub.se/https://link.springer.com/article/10.1007/JHEP05(2011)016,Fisica
General logarithmic corrections to black-hole entropy,https://iopscience.iop.org/article/10.1088/0264-9381/19/9/302/meta,https://sci-hub.se/https://iopscience.iop.org/article/10.1088/0264-9381/19/9/302/meta,Fisica
