Titulos,URL,HUBsci,Categoria
The role of the right temporoparietal junction in attention and social interaction as revealed by ALE meta-analysis,https://link.springer.com/article/10.1007/s00429-014-0803-z,https://sci-hub.se/https://link.springer.com/article/10.1007/s00429-014-0803-z,NeuroCiencia
The role of the right temporoparietal junction in social interaction: how low-level computational processes contribute to meta-cognition,https://journals.sagepub.com/doi/pdf/10.1177/1073858407304654,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/1073858407304654,NeuroCiencia
[HTML] Enhancing social ability by stimulating right temporoparietal junction,https://www.sciencedirect.com/science/article/pii/S0960982212012031,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960982212012031,NeuroCiencia
The role of the right temporoparietal junction in the control of imitation,https://academic.oup.com/cercor/article-abstract/25/4/1107/340786,https://sci-hub.se/https://academic.oup.com/cercor/article-abstract/25/4/1107/340786,NeuroCiencia
Making sense of another mind: the role of the right temporo-parietal junction,https://www.sciencedirect.com/science/article/pii/S0028393205001223,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393205001223,NeuroCiencia
"Attention, awareness, and the right temporoparietal junction",https://www.pnas.org/doi/abs/10.1073/pnas.2026099118,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.2026099118,NeuroCiencia
Right temporoparietal junction and attentional reorienting,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21476,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.21476,NeuroCiencia
Functional heterogeneity and convergence in the right temporoparietal junction,https://academic.oup.com/cercor/article-abstract/26/3/1108/2367062,https://sci-hub.se/https://academic.oup.com/cercor/article-abstract/26/3/1108/2367062,NeuroCiencia
Expertise-related deactivation of the right temporoparietal junction during musical improvisation,https://www.sciencedirect.com/science/article/pii/S1053811909009525,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811909009525,NeuroCiencia
Disruption of the right temporoparietal junction with transcranial magnetic stimulation reduces the role of beliefs in moral judgments,https://www.pnas.org/doi/abs/10.1073/pnas.0914826107,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.0914826107,NeuroCiencia
The role of the right temporo-parietal junction in maintaining a coherent sense of one's body,https://www.sciencedirect.com/science/article/pii/S0028393208002601,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393208002601,NeuroCiencia
